cik,short,period,filed_at,accession,disclosed_by_amendment,cusip,symbol,ticker,name,sector,cls,value,shares,put_call
1111111111,M1,2026-03-31,2026-05-14,1111-26-000001,False,AAA000000,AAA,AAA,AAA Corp,Tech,COM,10000,100,
1111111111,M1,2026-03-31,2026-05-14,1111-26-000002,False,CCC000000,CCC,CCC,CCC Inc,Health,COM,5000,50,
1111111111,M1,2026-03-31,2026-05-14,1111-26-000003,False,DDD000000,DDD,DDD,DDD Inc,Health,COM,10000,100,
1111111111,M1,2026-03-31,2026-05-14,1111-26-000004,False,FFF000000,FFF,FFF,FFF Co,Energy,COM,4000,40,
1111111111,M1,2026-03-31,2026-05-14,1111-26-000005,False,EEE000000,EEE,EEE,EEE Co,Energy,COM,15000,1000,PUT
1111111111,M1,2026-06-30,2026-08-14,1111-26-000006,False,AAA000000,AAA,AAA,AAA Corp,Tech,COM,18000,150,
1111111111,M1,2026-06-30,2026-08-14,1111-26-000007,False,CCC000000,CCC,CCC,CCC Inc,Health,COM,6000,50,
1111111111,M1,2026-06-30,2026-08-14,1111-26-000008,False,DDD000000,DDD,DDD,DDD Inc,Health,COM,8000,80,
1111111111,M1,2026-06-30,2026-08-14,1111-26-000009,False,AAA000000,AAA,AAA,AAA Corp,Tech,COM,3000,100,CALL
2222222222,M2,2026-03-31,2026-05-14,2222-26-000010,False,BBB000000,BBB,BBB,BBB Corp,Tech,COM,8000,80,
2222222222,M2,2026-03-31,2026-05-14,2222-26-000011,False,EEE000000,EEE,EEE,EEE Co,Energy,COM,2000,20,
2222222222,M2,2026-06-30,2026-08-14,2222-26-000012,False,BBB000000,BBB,BBB,BBB Corp,Tech,COM,10000,100,
2222222222,M2,2026-06-30,2026-08-14,2222-26-000013,False,EEE000000,EEE,EEE,EEE Co,Energy,COM,5000,50,
2222222222,M2,2026-06-30,2026-08-14,2222-26-000014,False,FFF000000,FFF,FFF,FFF Co,Energy,COM,5000,50,
3333333333,M3,2026-06-30,2026-08-14,3333-26-000015,False,BBB000000,BBB,BBB,BBB Corp,Tech,COM,20000,200,
3333333333,M3,2026-06-30,2026-08-14,3333-26-000016,False,EEE000000,EEE,EEE,EEE Co,Energy,COM,10000,100,
3333333333,M3,2026-06-30,2026-08-14,3333-26-000017,False,FFF000000,FFF,FFF,FFF Co,Energy,COM,10000,100,
