accession,form,is_amendment,amendment_no,filed_at,event_date,filer_cik,reporting_ciks,investor_name,issuer_cik,issuer_name,cusip,shares,pct,purpose,prev_accession,url
0000000001-26-000001,13D,False,,2026-01-15,2026-01-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,1000000,6.0,,,http://example.com/a1
0000000001-26-000002,13D,True,1,2026-02-15,2026-02-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,1300000,8.9,,0000000001-26-000001,http://example.com/a2
0000000001-26-000003,13D,True,2,2026-03-15,2026-03-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,1150000,8.1,,0000000001-26-000002,http://example.com/a3
0000000001-26-000004,13D,True,3,2026-04-15,2026-04-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,1160000,8.15,,0000000001-26-000003,http://example.com/a4
0000000001-26-000005,13D,True,4,2026-05-15,2026-05-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,600000,4.0,,0000000001-26-000004,http://example.com/a5
0000000001-26-000006,13D,True,5,2026-06-15,2026-06-10,9999999999,9999999999,Filer A,1111111100,Alpha Corp,AAA000000,900000,6.5,,0000000001-26-000005,http://example.com/a6
0000000002-26-000001,13D,True,1,2026-01-20,2026-01-15,9999999998,9999999998,Filer B,1111111101,Beta Corp,BBB000000,700000,7.0,,0000000000-00-000000,http://example.com/b1
0000000002-26-000002,13D,True,2,2026-02-20,2026-02-15,9999999998,9999999998,Filer B,1111111101,Beta Corp,BBB000000,700000,,,0000000002-26-000001,http://example.com/b2
0000000003-26-000001,13G,False,,2026-01-25,2026-01-20,9999999997,9999999997,Filer C,1111111102,Gamma Corp,CCC000000,550000,5.5,,,http://example.com/c1
0000000003-26-000002,13D,False,,2026-02-25,2026-02-20,9999999997,9999999997,Filer C,1111111102,Gamma Corp,CCC000000,650000,6.5,,,http://example.com/c2
0000000004-26-000001,13D,False,,2026-01-30,2026-01-25,0001048445,0001048445,Elliott Investment Management L.P.,2222222200,Delta Corp,DDD000000,900000,9.0,,,http://example.com/d1
0000000005-26-000001,13D,False,,2026-08-14,2026-08-10,9999999995,9999999995,Filer E,1111111103,Epsilon Corp,EEE000000,550000,5.5,,,http://example.com/e1
0000000005-26-000002,13D,True,1,2026-08-14,2026-08-10,9999999995,9999999995,Filer E,1111111103,Epsilon Corp,EEE000000,650000,6.5,,0000000005-26-000001,http://example.com/e2
